ORD; AÑO ; MES ; DÍA ; DIA DE LA SEMANA ;HORA; ETAPA DEL DÍA ; ZONA ; BLOQUE ; CAMPO ; LOCACIÓN ; INSTALACIÓN O ÁREA ; LON ; LAT ; FUENTES GENERADORAS DE RIESGO ; TIPO ;CONSECUENCIA;OBJETOS;CANTIDAD;UNIDAD;MONTO;SEVERIDAD / IMPACTO;"DEPARTAMENTO
CUSTODIO DEL BIEN";NÚMERO DE INFORME DE VERIFICACIÓN;INFORME DEL ÁREA USUARIA?;NUMERO DE DENUNCIA O ACTO URGENTE;ESTADO DEL PROCESO;PROCESADOS;;LOCACIÓN TIENE SERVICIO DE VIGILANCIA FIJA?;LOCACIÓN TIENE CÁMARA DE VIDEO SEGURIDAD?;LOCACIÓN TIENE CERRAMIENTO?;LOCACIÓN TIENE ILUMINACIÓN?;LA CONTRATISTA REPONE EL VALOR DE LA PÉRDIDA?;SEGURO DE PETROAMAZONAS REPONE EL VALOR DE LA PÉRDIDA?;EXISTIÓ RECOMENDACIÓN DE SEGURIDAD QUE PUDO EVITAR EL EVENTO?;RECOMENDACIONES PARA DISMINUIR EL RIESGO DE REPETICIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;AÑO;MES;DIA;DIA DE LA SEMANA;HORA;ETAPA;ZONA;BLOQUE;Campo;LOCACIÓN;FUENTE;TIPO;CONSECUENCIA;;UNIDAD;SEVERIDAD;DEPARTAMENTO;INFORME DE ÁREA USUARIA;ESTADO DEL PROCESO;;SENTENCIADOS;;;;;;;;;;;;;;;;;;;;
77;2022;FEB;12;SABADO;5:00 AM;MADRUGADA;ZOCE;B57 - SHS;SUR;B57 - SHS - WELL PAD SHSA 122;PLATAFORMA; 317.457,33 ; 9.973.143,88 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;23;PIES (FT.); $1.001,65 ;IMPIDE PARCIALMENTE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SEGF-IVP-13-02-2022 – B57 SHS;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;;SI;"Implementar barrera de malla electro soldada con base de cemento en el área de equipos de superficie. 
Instalación de concertinas en la base y en la parte superior de la barrera de protección de equipos de superficie.
Instalación de una cámara de seguridad";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B15 - CPF - PALMAR OESTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;2022;FEB;13;DOMINGO;9:00 PM;NOCHE;ZOCE;B57 - SHS;AGUARICO;B57 - SHS - WELL PAD AGRC 047;PLATAFORMA; 315.783,98 ; 9.994.784,71 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;24;PIES (FT.); $1.045,20 ;IMPIDE PARCIALMENTE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SEGF-IV-13-02-2022 – B57 SHS;SI;;ABIERTO;;NO;NO;NO;SI;NO;NO;;SI;"Implementar barrera de malla electro soldada con base de cemento en el área de equipos de superficie. 
Instalación de concertinas en la base y en la parte superior de la barrera de protección de equipos de superficie.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B15 - CPF - PALMERAS NORTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;2022;FEB;17;JUEVES;2:00 AM;MADRUGADA;ZOCE;B57 - SHS;DRAGO;B57 - SHS - WELL PAD DRTA-013;PLATAFORMA; 308.206,34 ; 9.979.082,12 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;8;PIES (FT.); $348,40 ;NO IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SEGF-IV-17-02-2022 – B57 SHS;SI;;ABIERTO;;NO;NO;NO;SI;SI;NO;;SI;"Implementar barrera de malla electro soldada con base de cemento en el área de equipos de superficie. 
Instalación de concertinas en la base y en la parte superior de la barrera de protección de equipos de superficie.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B15 - CPF - PAÑAYACU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;2022;FEB;17;JUEVES;11:00 PM;NOCHE;ZOCE;B57 - SHS;AGUARICO;B57 - SHS - WELL PAD SHSS-111;PLATAFORMA; 318.185,58 ; 9.988.166,48 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;6,55;PIES (FT.); $16.299,91 ;IMPIDE PARCIALMENTE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SEGF-IV-17-02-2022 – B57 SHS;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;;SI;"Implementar barrera de malla electro soldada con base de cemento en el área de equipos de superficie. 
Instalación de concertinas en la base y en la parte superior de la barrera de protección de equipos de superficie.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B15 - CPF - SANTA ELENA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;2022;FEB;18;VIERNES;11:00 PM;NOCHE;ZOCE;B57 - SHS;NORTE;B57 - SHS - WELL PAD SHSB-245;PLATAFORMA; 31.684,88 ; 9.985.955,04 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;85;PIES (FT.); $18.698,22 ;IMPIDE PARCIALMENTE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SEGF-IV-18-02-2022 – B57 SHS;SI;;ABIERTO;;NO;NO;NO;SI;NO;NO;;SI;"Implementar barrera de malla electro soldada con base de cemento en el área de equipos de superficie. 
Instalación de concertinas en la base y en la parte superior de la barrera de protección de equipos de superficie.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B15 - CPF - TUNTIAK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;2022;FEB;25;VIERNES;9:00 PM;NOCHE;ZOCE;B57 - SHS;CENTRO;B57 - SHS - WELL PAD SHSI-119;PLATAFORMA; 314.672,84 ; 9.976.174,31 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;78;PIES (FT.); $1.283,10 ;NO IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SFI-IVP-ZOCO-26-02-2022;SI;;ABIERTO;;NO;NO;NO;SI;SI;NO;;SI;"Debido a que el pozo SHS-119 no se encuentra en producción, se recomienda que los equipos
de superficie sean recuperados y puestos a buen recaudo con el fin de evitar pérdidas,
sustracciones o daños.
Implementar sistema de apertura de puertas a la instalación desde el Centro de Monitoreo.
Implementar barrera de malla electro soldada con base de cemento en el área de equipos de superficie. 
Instalación de concertinas en la base y en la parte superior de la barrera de protección de los equipos.
Instalación de una cámara de seguridad con inteligencia artificial.
Remplazar luminarias no operativas en el área de equipos de superficie de la plataforma.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B15 - CPF - YAMANUNCA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;2022;MAR;11;VIERNES;3:00 AM;MADRUGADA;ZOCE;B57 - SHS;CENTRO;B57 - SHS - WELL PAD SHSI 119;PLATAFORMA; 314.672,84 ; 9.976.174,31 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;102,5;PIES (FT.); $101.937,05 ;NO IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SEGF-IV-11-03-2022 – B57 SHS;SI;;ABIERTO;;NO;NO;NO;SI;SI;NO;;SI;"Debido a que el pozo SHS-119 no se encuentra en producción, se recomienda que los equipos
de superficie sean recuperados y puestos a buen recaudo con el fin de evitar pérdidas,
sustracciones o daños.
Implementar sistema de apertura de puertas a la instalación desde el Centro de Monitoreo.
Implementar barrera de malla electro soldada con base de cemento en el área de equipos de superficie. 
Instalación de concertinas en la base y en la parte superior de la barrera de protección de equipos de superficie.
Instalación de una cámara de seguridad con inteligencia artificial.
Remplazar luminarias no operativas en el área de equipos de superficie de la plataforma.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B15 - CPF - YAMANUNCA 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;2022;MAR;16;MIERCOLES;12:00 AM;MADRUGADA;ZOCE;B57 - SHS;NORTE;B57 - SHS - WELL PAD SHSC 206;PLATAFORMA; 315.570,07 ; 9.987.064,45 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;45;PIES (FT.); $7.849,75 ;IMPIDE PARCIALMENTE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SEGF-IV-16-03-2022 – B57 SHS;SI;;ABIERTO;;NO;NO;NO;SI;SI;NO;;SI;"Implementar barrera de malla electro soldada con base de cemento en el área de equipos de superficie. 
Instalación de concertinas en la base y en la parte superior de la barrera de protección de equipos de superficie.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B15 - CPF - YANAQUINCHA ESTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;2022;MAR;18;VIERNES;8:00 PM;NOCHE;ZOCE;B57 - SHS;NORTE;B57 - SHS - WELL PAD SHSC-247;PLATAFORMA; 315.570,07 ; 9.987.064,45 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;6,5;PIES (FT.); $16.299,91 ;IMPIDE PARCIALMENTE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SEGF-IV-18-03-2022 – B57 SHS;SI;;ABIERTO;;NO;NO;NO;SI;SI;NO;;SI;"Implementar barrera de malla electro soldada con base de cemento en el área
de equipos de superficie.
Instalación de concertinas en la base y en la parte superior de la barrera de
protección de equipos de superficie.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B15 - CPF - YANAQUINCHA OESTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;2022;MAR;23;MIERCOLES;4:00 PM;TARDE;ZOCE;B57 - SHS;AGUARICO;B57 - SHS - WELL PAD AGRC 17D;PLATAFORMA; 315.783,98 ; 9.994.784,71 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;40;PIES (FT.);$1.779,28 ;NO IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SFI-IVP-ZOCO-27-03-2022;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;;SI;"Implementar barrera de malla electro soldada con base de cemento en el área
de equipos de superficie.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B31 - APK - MLV - 50002D CARI YUTURI NORTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;2022;MAR;26;SABADO;5:00 AM;MAÑANA;ZOCE;B57 - SHS;CENTRO;B57 - SHS - WELL PAD SHSAF-042;PLATAFORMA; 984.597,68 ; 9.976.815,08 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;230;PIES (FT.); $25.876,43 ;IMPIDE PARCIALMENTE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SFI-IVP-ZOCO-27-03-2022;SI;;ABIERTO;;NO;NO;NO;SI;NO;NO;;SI;"Implementar barrera de malla electro soldada con base de cemento en el área de equipos de superficie. 
Instalación de concertinas en la base y en la parte superior de la barrera de protección de equipos de superficie.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B31 - APK - APAIKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;2022;MAR;27;DOMINGO;1:00 AM;MADRUGADA;ZOCE;B57 - SHS;SUR;B57 - SHS - SHS 23;PLATAFORMA; 315.555,42 ; 9.973.116,79 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;59;PIES (FT.);$1.813,07 ;IMPIDE PARCIALMENTE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SFI-IVP-ZOCO-27-03-2022;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;;SI;No se emite aun el informe de verificación.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B31 - APK - ESTACIÓN CENTRAL DE BOMBEO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;2022;MAR;28;LUNES;5:00 AM;MADRUGADA;ZOCE;B57 - SHS;NORTE;B57 - SHS - WELL PAD SHSC-053;PLATAFORMA; 315.563,66 ; 9.987.046,07 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;426;PIES (FT.);$1.128,90 ;NO IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SFI-IVP-ZOCO-04-01-2022;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;;SI;"Implementar barrera de malla electro soldada con base de cemento en el área de equipos de superficie. 
Instalación de concertinas en la base y en la parte superior de la barrera de protección de equipos de superficie.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B31 - APK - MLV - 50002A HUARMI YUTURI SUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;2022;ABR;2;SABADO;4:00 AM;MADRUGADA;ZOCE;B57 - SHS;CENTRO;B57 - SHS - WELL PAD SHS 73;PLATAFORMA; 316.142,28 ; 9.976.637,58 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;920;PIES (FT.);$19.563,23 ;NO IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SFI-IVP-ZOCO-02-04-2022;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;;SI;"Debido a que los pozos SHSAB-073 y SHSAB-185 no se encuentran en producción, se recomienda que los equipos de superficie sean recuperados y puestos a buen recaudo con el fin de evitar pérdidas,o daños.
Implementar sistema de apertura de puertas a la instalación desde el Centro de Monitoreo.
Implementar barrera de malla electro soldada con base de cemento en el área de equipos de superficie. 
Instalación de concertinas en la base y en la parte superior de la barrera de protección de los equipos. 
Instalación de una cámara de seguridad con inteligencia artificial en el interior de la techada de las estructuras.
Instalación una cámara PTZ con para vigilancia del perímetro de la locación desde el Centro de Monitoreo.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B31 - APK - MLV - 50002B HUARMI YUTURI NORTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;2022;ABR;3;DOMINGO;4:00 AM;MADRUGADA;ZOCE;B57 - SHS;NORTE;B57 - SHS - WELL PAD SHSS 52;PLATAFORMA; 318.185,58 ; 9.988.166,48 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;40;PIES (FT.); $1.531,10 ;IMPIDE PARCIALMENTE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SFI-IVP-03-04-2022 – B57 SHS;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;;SI;"Implementar sistema de apertura de puertas a la instalación desde el Centro de Monitoreo.
Implementar barrera de malla electro soldada con base de cemento en el área de equipos de superficie. 
Instalación de concertinas en la base y en la parte superior de la barrera de protección de los equipos. 
Instalación de una cámara de seguridad con inteligencia artificial. 
Que se instalen en el Centro de Monitoreo de Seguridad Física del B57 SHS, las aplicaciones tecnológicas que permitan el monitoreo en tiempo real de los pozos para tener una capacidad de reacción oportuna y adecuada ante alertas de perdida de comunicación o apagado de pozos.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B31 - APK - MLV - 50002C CARI YUTURI SUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;2022;ABR;5;MARTES;10:00 PM;NOCHE;ZOCE;B57 - SHS;SUR;B57 - SHS - SHS 75;PLATAFORMA; 316.041,05 ; 9.974.521,93 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;200;PIES (FT.); $1.758,20 ;IMPIDE PARCIALMENTE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SFI-IV-05-04-2022 – B57 SHS;NO;;ABIERTO;;NO;NO;NO;NO;NO;NO;;SI;"Implementar sistema de apertura de puertas a la instalación desde el Centro de Monitoreo.
Implementar barrera de malla electro soldada con base de cemento en el área de equipos de superficie.
Instalación de concertinas en la base y en la parte superior de la barrera de protección de equipos de superficie. 
Instalación de sistema de video y seguridad.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B31 - APK - MLV-40900 D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;2022;ABR;13;MIERCOLES;8:00 PM;NOCHE;ZOCE;B57 - SHS;SUR;B57 - SHS - SHS 79;PLATAFORMA; 983.919,95 ; 9.972.297,11 ; DELINCUENCIA COMUN ; ROBO ;AFECTACIÓN A LA OPERACIÓN;CABLES;72;PIES (FT.); $16.577,55 ;IMPIDE PARCIALMENTE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SFI-IV-13-04-2022 – B57 SHS;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;;SI;"Implementar sistema de apertura de puertas a la instalación desde el Centro de Monitoreo.
Implementar barrera de malla electro soldada con base de cemento en el área de equipos de superficie.
Instalación de concertinas en la base y en la parte superior de la barrera de protección de equipos de superficie.
Instalación de sistema de video y seguridad.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B31 - APK - MLV-50001 B PINDUYACU SUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;2022;ABR;16;SABADO;4:00 AM;MADRUGADA;ZOCE;B57 - SHS;NORTE;B57 - SHS - WELL PAD SHSC-053;PLATAFORMA; 315.570,07 ; 9.987.064,45 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;90;PIES (FT.); $791,10 ;NO IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SFI-IV-16-04-2022 – B57 SHS;NO;;ABIERTO;;NO;NO;NO;NO;NO;NO;;SI;"Implementar sistema de apertura de puertas a la instalación desde el Centro de Monitoreo. 
Implementar barrera de malla electro soldada con base de cemento en el área de equipos de superficie. 
Instalación de concertinas en la base y en la parte superior de la barrera de protección de equipos de superficie. 
Instalación de sistema de video y seguridad. ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B31 - APK - MLV-50001 C PINDUYACU NORTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;2022;ABR;18;LUNES;10:00 AM;NOCHE;ZOCE;B57 - SHS;AGUARICO;B57 - SHS - WELL PAD AGRG 05D;PLATAFORMA; 318.057,66 ; 9.992.376,51 ; DELINCUENCIA COMUN ; ROBO ;AFECTACIÓN A LA OPERACIÓN;CABLES;262;PIES (FT.); $2.994,66 ;IMPIDE PARCIALMENTE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SFI-IV-18-04-2022 – B57 SHS;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;;SI;"Implementar barrera de malla electro soldada con base de cemento en el área
de equipos de superficie.
Instalación de concertinas en la base y en la parte superior de la barrera de
protección de equipos de superficie.
Instalación de una cámara de seguridad.
Que se instalen en el Centro de Monitoreo de Seguridad Física del B57 SHS, las
aplicaciones tecnológicas que permitan el monitoreo en tiempo real de los pozos
para tener una capacidad de reacción oportuna y adecuada ante alertas de
perdida de comunicación o apagado de pozos.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B31 - APK - MLV-50001 D TIPUTINI SUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;2022;ABR;20;MIERCOLES;7:00 PM;NOCHE;ZOCE;B57 - SHS;NORTE;B57 - SHS - WELL PAD SHSC-053;PLATAFORMA; 315.570,07 ; 9.987.064,45 ; DELINCUENCIA COMUN ; ROBO ;AFECTACIÓN A LA OPERACIÓN;CABLES;39;PIES (FT.); $342,81 ;IMPIDE PARCIALMENTE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SFI-IVP-ZOCE-04-22-2022;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;;SI;"Implementar barrera de malla electro soldada con base de cemento en el área de equipos de
superficie.
Completar en la parte superior de la caseta de químicos la malla electro soldada
Colocar puntos de suelda en la tapa de la caja de revisión
Instalación de una cámara de seguridad con inteligencia artificial.
Implementar sistema de iluminación protectiva en la locación.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B31 - APK - MLV-50001 E TIPUTINI NORTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;2022;MAY;2;LUNES;7:00 PM;NOCHE;ZOCE;B57 - SHS;SUR;B57 - SHS - SHS-068;PLATAFORMA; 315.223,46 ; 9.977.231,44 ; DELINCUENCIA COMUN ; ROBO ;AFECTACIÓN A LA OPERACIÓN;CABLES;92;PIES (FT.); $27.041,60 ;IMPIDE PARCIALMENTE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SFI-IVP-ZOCE-05-02-2022;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;;SI;"Implementar barrera de malla electro soldada con base de cemento en el área de equipos de superficie. 
Instalación de concertinas en la base y en la parte superior de la barrera de protección de equipos de superficie. 
Instalación de sistema de video y seguridad. ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B31 - APK - NENKE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;2022;MAY;6;VIERNES;9:00 PM;NOCHE;ZOCE;B57 - SHS;SUROESTE;B57 - SHS - WELL PAD SHSP-293;PLATAFORMA; 313.578,45 ; 9.968.962,38 ; DELINCUENCIA COMUN ; ROBO ;AFECTACIÓN A LA OPERACIÓN;CABLES;200;PIES (FT.); $334,00 ;IMPIDE PARCIALMENTE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SFI-IVP-ZOCE-05-04-2022;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;;SI;"Implementar barrera de malla electro soldada con base de cemento en el área de equipos de superficie. 
Instalación de concertinas en la base y en la parte superior de la barrera de protección de equipos de superficie. 
Instalación de sistema de video y seguridad. ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B31 - APK - OLEC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;2022;MAY;14;SABADO;9:00 AM;MAÑANA;ZOCE;B57 - SHS;CENTRO;B57 - SHS - SHS 011;PLATAFORMA; 314.595,11 ; 9.978.184,15 ; DELINCUENCIA COMUN ; ROBO ;AFECTACIÓN A LA OPERACIÓN;CABLES;215;PIES (FT.); $1.889,85 ;IMPIDE PARCIALMENTE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SFI-IV-14-05-2022 – B57 SHS;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;;SI;"Implementar sistema de apertura de puertas a la instalación desde el Centro de Monitoreo. 
Implementar barrera de malla electro soldada con base de cemento en el área de equipos de superficie. 
Instalación de concertinas en la base y en la parte superior de la barrera de protección de equipos de superficie. 
Instalación de sistema de video y seguridad. ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B31 - APK - TIPUTINI NORTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;2022;MAY;22;SABADO;2:00 AM;MADRUGADA;ZOCE;B57 - SHS;SUR;B57 - SHS - WELL PAD SHSK 106;PLATAFORMA;         317699.276   ; 9.975.116,09 ; DELINCUENCIA COMUN ; ROBO ;AFECTACIÓN A LA OPERACIÓN;CABLES;262;PIES (FT.); $2.302,98 ;IMPIDE PARCIALMENTE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SFI-IVP-ZOCE-22-05-2022;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;;SI;"Implementar barrera de malla electro soldada con base de cemento en el área de equipos de superficie. Su puerta de ingreso deberá contar con su respectivo candado asegurado con protección mecánica para evitar que sea violentado.
Instalación de concertinas en la base y en la parte superior de la barrera de protección de equipos de superficie. 
Instalación de una cámara de seguridad con inteligencia artificial en el interior de la estructura techada del área de equipos de superficie.
Instalación de una cámara PTZ para vigilancia del perímetro de la locación desde el Centro de Monitoreo.
Implementar iluminación en el área de equipos de superficie y caseta de químicos.
Asegurar las cajas de revisión que contienen cable eléctrico en su interior colocando puntos de suelda en sus tapas.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B31 - APK - TIPUTINI SUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;2022;JUN;2;JUEVES;8:00 PM;NOCHE;ZOCE;B57 - SHS;SUR;B57 - SHS - WELL PAD SHSQ 179;PLATAFORMA; 315.446,91 ; 9.971.003,94 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;36;PIES (FT.); $1.560,80 ;IMPIDE PARCIALMENTE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SEGF-IVP-05-06-2022 – B57 SHS;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;;SI;"Que personal de Mantenimiento y Operaciones realice la valoración del perjuicio económico ocasionado por el corte de cable, con el fin de continuar con los trámites legales pertinentes. 
Que el área custodio de la plataforma PAD SHSQ, coordine la provisión de candados para asegurar el área donde se encuentran los equipos de superficie, e instalen el encamisado del cable, a fin de dificultar y retardar los eventos de robo. ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B31 - APK - ZECH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;2022;JUN;8;MIERCOLES;3:00 PM;TARDE;ZOCE;B57 - SHS;NORTE;B57 - SHS - WELL PAD SHSAA 153;PLATAFORMA; 315.642,19 ; 9.983.318,42 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;115;PIES (FT.); $192,05 ;IMPIDE PARCIALMENTE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SFI-IVP-ZOCE-08-06-2022;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;;SI;"Implementar barrera de malla electro soldada con base de cemento en el área de equipos de superficie. Su puerta de ingreso deberá contar con su respectivo candado asegurado con protección mecánica para evitar que sea violentado.
Instalación de concertinas en la base y en la parte superior de la barrera de protección de equipos de superficie.
Instalación de una cámara de seguridad con inteligencia artificial en el interior de la estructura techada del área de equipos de superficie.
Instalación de una cámara PTZ para vigilancia del perímetro de la locación desde el Centro de Monitoreo.
Asegurar las cajas de revisión que contienen cable eléctrico en su interior colocando puntos de suelda en sus tapas.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B43 - ITT - CPT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
