ORD; AÑO ; MES ; DÍA ; DIA DE LA SEMANA ;HORA; ETAPA DEL DÍA ; ZONA ; BLOQUE ; CAMPO ; LOCACIÓN ; INSTALACIÓN O ÁREA ; LON ; LAT ; FUENTES GENERADORAS DE RIESGO ; TIPO ;CONSECUENCIA;OBJETOS;CANTIDAD;UNIDAD;MONTO;SEVERIDAD / IMPACTO;"DEPARTAMENTO
CUSTODIO DEL BIEN";NÚMERO DE INFORME DE VERIFICACIÓN;INFORME DEL ÁREA USUARIA?;NUMERO DE DENUNCIA O ACTO URGENTE;ESTADO DEL PROCESO;PROCESADOS;;LOCACIÓN TIENE SERVICIO DE VIGILANCIA FIJA?;LOCACIÓN TIENE CÁMARA DE VIDEO SEGURIDAD?;LOCACIÓN TIENE CERRAMIENTO?;LOCACIÓN TIENE ILUMINACIÓN?;LA CONTRATISTA REPONE EL VALOR DE LA PÉRDIDA?;SEGURO DE PETROAMAZONAS REPONE EL VALOR DE LA PÉRDIDA?;EXISTIÓ RECOMENDACIÓN DE SEGURIDAD QUE PUDO EVITAR EL EVENTO?;RECOMENDACIONES PARA DISMINUIR EL RIESGO DE REPETICIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;AÑO;MES;DIA;DIA DE LA SEMANA;HORA;ETAPA;ZONA;BLOQUE;Campo;LOCACIÓN;FUENTE;TIPO;CONSECUENCIA;;UNIDAD;SEVERIDAD;DEPARTAMENTO;INFORME DE ÁREA USUARIA;ESTADO DEL PROCESO;;SENTENCIADOS;;;;;;;;;;;;;;;;;;;;
11;2021;MAR;17;MIERCOLES;7:00 AM;MAÑANA;ZOCE;B57 - SHS;SUR;B57 - SHS - SHS 92;PLATAFORMA; 315.223,46 ; 9.977.231,44 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;10;METROS (M.); $1.168,44 ;NO IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SEGF-IV-2021-011-B57 SHS;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;SI;SI;"Que OPR coordine con MNT la instalación de luminarias en todo el cerco perimetral de la estación.
Desbroce de maleza.
Encamizar los cables eléctricos para evitar la sustracción.";;;;;;;;;;;;;;;;;;;;;;;;; SABOTAJE ;;2028;NOV;11;;10:00;;;B44 - PUC;EDEN YUTURI;B12 - EDY - PAD-D;; FUGA DE INFORMACIÓN ;;MALLA PERIMETRAL;;;RECURSOS HUMANOS (RRHH);;;;;;;;;;;;;;;;;;;;;;;;
12;2021;ABR;9;MIERCOLES;8:00 PM;NOCHE;ZOCE;B57 - SHS;SUR;B57 - SHS - SHS 92;PLATAFORMA; 315.223,46 ; 9.977.231,44 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;14;METROS (M.); $3.450,19 ;NO IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SEGF-IV-2021-012-B57 SHS;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;SI;SI;"Que OPR coordine con MNT la instalación de luminarias en todo el cerco perimetral de la estación.
Desbroce de maleza.
Encamizar los cables eléctricos para evitar la sustracción.";;;;;;;;;;;;;;;;;;;;;;;;; SECUESTRO ;;2029;DIC;12;;11:00;;;B49 - BRM;FRONTERA;B12 - EDY - PAD-E;; HURTO ;;TECNOLOGÍA;;;SEGURIDAD FISICA (SEGF);;;;;;;;;;;;;;;;;;;;;;;;
13;2021;ABR;13;MARTES;10:00 AM;MAÑANA;ZOCE;B57 - SHS;NORTE;B57 - SHS - WELL PAD SHS 154;PLATAFORMA;         315626.783   ; 9.983.324,59 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;TABLERO DE CONTROL DE NIVELES DE QUÍMICOS;1;EA;  $                 -   ;NO IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SEGF-IV-2021-013-B57 SHS;SI;;ABIERTO;;NO;NO;NO;SI;NO;NO;SI;SI;Instalación de candados en el área de los equipos de superficie. ;;;;;;;;;;;;;;;;;;;;;;;;; TOMAS CLANDESTINAS ;;2030;;13;;12:00;;;B56 - LGA;GACELA;B12 - EDY - PAD-F;; RETENCIÓN DE PERSONAS ;;TUBERÍA;;;SEGURIDAD SALUD Y AMBIENTE (SSA);;;;;;;;;;;;;;;;;;;;;;;;
14;2021;ABR;23;VIERNES;3:00 PM;TARDE;ZOCE;B57 - SHS;NORTE;B57 - SHS - SHS 43;DDV; 317.829,59 ; 9.981.083,44 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;BOTE;1;EA;  $                 -   ;NO IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;SEGURIDAD SALUD Y AMBIENTE (SSA);SEGF-IV-2021-014-B57 SHS;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;SI;SI;"Que OPR coordine con MNT la instalación de luminarias en todo el cerco perimetral de la estación.
Desbroce de maleza.
Encamizar los cables eléctricos para evitar la sustracción.";;;;;;;;;;;;;;;;;;;;;;;;; DISTURBIO / MANIFESTACIONES ;;;;14;;13:00;;;B57 - LIB;GUANTA;B12 - EDY - PAD-G;; ROBO ;;JP-1;;;TECNOLOGIA DE LA INFORMACION (TI);;;;;;;;;;;;;;;;;;;;;;;;
15;2021;ABR;29;SABADO;7:00 AM;MAÑANA;ZOCE;B57 - SHS;SUR;B57 - SHS - SHS 101;DDV;         315626.783   ; 9.983.324,59 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;TUBERÍA;230;METROS (M.); $7.362,30 ;NO IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SEGF-IV-2021-015-B57 SHS;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;SI;SI;Que OPR realice el desbroce de maleza en el DDV.;;;;;;;;;;;;;;;;;;;;;;;;; SABOTAJE ;;;;15;;14:00;;;B57 - SHS;INDILLANA;B12 - EDY - PAD-H;; SABOTAJE ;;MOTOR ELÉCTRICO;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;2021;MAY;7;VIERNES;3:00 AM;MADRUGADA;ZOCE;B57 - SHS;SUR;B57 - SHS - WELL PAD SHSK 106;PLATAFORMA;         317699.276   ; 9.975.116,09 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;40;PIES (FT.); $1.742,00 ;NO IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SEGF-IV-2021-014-B57 SHS;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;SI;SI;"Que OPR coordine con MNT la instalación de luminarias en todo el cerco perimetral de la estación.
Desbroce de maleza
Encamizar los cables eléctricos para evitar la sustracción ";;;;;;;;;;;;;;;;;;;;;;;;; ATENTADO ;;;;16;;15:00;;;B58 - CYB;ITAYA;B12 - EDY - PAD-I;; SECUESTRO ;;GASOLINA;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;2021;MAY;11;MARTES;7:00 PM;NOCHE;ZOCE;B57 - SHS;SUR;B57 - SHS - SHS-068;PLATAFORMA; 315.223,46 ; 9.977.231,44 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;14;METROS (M.); $2.003,30 ;NO IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SEGF-IV-2021-015-B57 SHS;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;SI;SI;"Que OPR coordine con MNT la instalación de luminarias en todo el cerco perimetral de la estación.
Desbroce de maleza.
Encamizar los cables eléctricos para evitar la sustracción .";;;;;;;;;;;;;;;;;;;;;;;;; CIERRE DE VÍAS ;;;;17;;16:00;;;B60 - SAC;JAGUAR;B12 - EDY - PAD-J;; TOMA DE INSTALACIÓN ;;DIÉSEL;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;2021;MAY;13;JUEVES;8:00 AM;MAÑANA;ZOCE;B57 - SHS;AGUARICO;B57 - SHS - AGRE-019;PLATAFORMA;         315626.783   ; 9.983.324,59 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;MALLA PERIMETRAL;72;METROS (M.); $288,12 ;NO IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SEGF-IV-2021-016-B57 SHS;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;SI;SI;"Que OPR coordine con MNT la instalación de luminarias en todo el cerco perimetral de la estación.
Desbroce de maleza externa.";;;;;;;;;;;;;;;;;;;;;;;;; TOMA DE INSTALACIÓN ;;;;18;;17:00;;;B61 - AUC;JIVINO;B12 - EDY - PAD-K;; TOMAS CLANDESTINAS ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;2021;MAY;17;LUNES;8:00 PM;NOCHE;ZOCE;B57 - SHS;SUR;B57 - SHS - SHS-069;PLATAFORMA; 315.507,37 ; 9.970.173,77 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;29;PIES (FT.); $1.262,95 ;IMPIDE PARCIALMENTE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SEGF-IV-2021-017-B57 SHS;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;SI;SI;"Que OPR coordine con MNT la instalación de luminarias en todo el cerco perimetral de la estación.
Desbroce de maleza.
Encamizar los cables eléctricos para evitar la sustracción.";;;;;;;;;;;;;;;;;;;;;;;;; APAGADO FORSOZO ;;;;19;;18:00;;;QUITO;LAGO AGRIO;B12 - EDY - PAD-L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;2021;MAY;19;MIERCOLES;8:00 PM;NOCHE;ZOCE;B57 - SHS;AGUARICO;B57 - SHS - WELL PAD AGRA 03D;PLATAFORMA; 314.981,50 ; 9.997.284,98 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;16;PIES (FT.); $696,80 ;IMPIDE PARCIALMENTE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SEGF-IV-2021-018-B57 SHS;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;SI;SI;"Que OPR coordine con MNT la instalación de luminarias en todo el cerco perimetral de la estación.
Desbroce de maleza.
Encamizar los cables eléctricos para evitar la sustracción.";;;;;;;;;;;;;;;;;;;;;;;;; RETENCIÓN DE PERSONAS ;;;;20;;19:00;;;;LIBERTADOR;B12 - EDY - PAD-R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
